epc,antennaIndex,frequency,time,RSSI,phase,dopplerShift,velocity,x,y,z,angle
942700000000000000000007,1,920625000,0,-44,1.25786424606623,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000001,1,920625000,0,-48,2.20893233455532,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000004,1,920625000,0,-60,2.44823333746548,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000003,1,920625000,0,-56,3.12932080728671,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000006,1,920625000,0,-61.5,3.89017527807799,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000008,1,920625000,0,-50.5,5.22780652511427,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000002,1,920625000,0,-49,2.4789129532232,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000006,1,920625000,0,-62,3.77359273819868,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000002,1,920625000,0,-48.5,2.4789129532232,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000001,1,920625000,0,-48,2.23347602716149,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000007,1,920625000,0,-44,1.29467978497548,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000008,1,920625000,0,-50.5,5.17258321675038,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000003,1,920625000,0,-56,3.19681596195368,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000004,1,920625000,0,-59.5,2.36846633649543,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000008,1,920625000,0,-50.5,5.21553467881118,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000002,1,920625000,0,-49,2.50345664582937,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000003,1,920625000,0,-56,3.10477711468054,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000004,1,920625000,0,-60.5,2.39914595225314,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000006,1,920625000,0,-62,3.76745681504713,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000001,1,920625000,0,-48,2.20893233455532,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000007,1,920625000,0,-44,1.2394564766116,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000003,1,920625000,0,-56,3.11704896098362,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000008,1,920625000,0,-50.5,5.20939875565964,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000007,1,920625000,0,-44,1.28854386182394,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000001,1,920625000,0,-48,2.25801971976766,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000002,1,920625000,0,-49,2.47277703007165,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000006,1,920625000,0,-62,3.9208548938357,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000004,1,920625000,0,-60,2.3930100291016,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000001,1,920625000,0,-48,2.23347602716149,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000002,1,920625000,0,-48.5,2.49732072267782,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000008,1,920625000,0,-50.5,5.22780652511427,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000006,1,920625000,0,-61.5,3.76745681504713,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000007,1,920625000,0,-44,1.27627201552085,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000003,1,920625000,0,-55.5,3.13545673043825,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000004,1,920625000,0,-61,2.47277703007165,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000007,1,920625000,0,-44,1.27627201552085,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000004,1,920625000,0,-60,2.33778672073772,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000006,1,920625000,0,-62.5,3.80427235395639,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000002,1,920625000,0,-49,2.52800033843554,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000008,1,920625000,0,-50.5,5.25848614087198,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000001,1,920625000,0,-48,2.22120418085841,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000003,1,920625000,0,-56,3.11704896098362,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000008,1,920625000,0,-50.5,5.22780652511427,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000006,1,920625000,0,-62,3.82881604656256,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000002,1,920625000,0,-49,2.46050518376857,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000003,1,920625000,0,-56,3.15386449989288,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000004,1,920625000,0,-60.5,2.48504887637474,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000007,1,920625000,0,-44,1.25786424606623,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000001,1,920625000,0,-48,2.23961195031304,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000004,1,920625000,0,-60,2.44209741431394,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000003,1,920625000,0,-56,3.11704896098362,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000007,1,920625000,0,-44,1.23332055346006,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000006,1,920625000,0,-62,3.72450535298634,0,0,0.240032012939453,1.63,0,-0.0240000002086163
942700000000000000000001,1,920625000,0,-48,2.23961195031304,0,0,0.240032012939453,1.63,0,-0.0240000002086163
