epc,antennaIndex,frequency,time,RSSI,phase,dopplerShift,velocity,x,y,z,angle
800000000000000000000004,1,920625000,0,-52.5,3.60792281310703,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000002,1,920625000,0,-55.5,0.576776776245001,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000003,1,920625000,0,-50,1.92054394643282,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000011,1,920625000,0,-48,1.60761186570415,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000020,1,920625000,0,-64.5,4.52217536268687,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000019,1,920625000,0,-61.5,0.871301087519044,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000009,1,920625000,0,-51.5,2.54640810789016,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000017,1,920625000,0,-63,3.57110727419777,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000018,1,920625000,0,-62,1.22104870715697,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000008,1,920625000,0,-63,1.22718463030851,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000017,1,920625000,0,-63,3.65701019831937,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000002,1,920625000,0,-55.5,0.546097160487288,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000020,1,920625000,0,-65.5,4.58967051735384,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000016,1,920625000,0,-50.5,1.70578663612883,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000009,1,920625000,0,-51.5,2.54027218473862,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000001,1,920625000,0,-44,4.74920451929395,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000008,1,920625000,0,-63.5,1.19036909139926,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000004,1,920625000,0,-52.5,3.57110727419777,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000003,1,920625000,0,-49.5,1.93281579273591,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000010,1,920625000,0,-49,4.14174812729123,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000007,1,920625000,0,-64.5,5.12963175468958,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000019,1,920625000,0,-61.5,0.846757394912874,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000015,1,920625000,0,-53,3.6324665057132,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000011,1,920625000,0,-48,1.60147594255261,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000018,1,920625000,0,-61.5,1.31308755443011,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000018,1,920625000,0,-62,1.25786424606623,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000008,1,920625000,0,-63.5,1.2824079386724,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000002,1,920625000,0,-55.5,0.582912699396544,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000017,1,920625000,0,-63,3.73677719928942,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000015,1,920625000,0,-53,3.55883542789469,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000010,1,920625000,0,-49,4.13561220413969,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000003,1,920625000,0,-49.5,1.92054394643282,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000016,1,920625000,0,-50.5,1.70578663612883,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000007,1,920625000,0,-64.5,5.06827252317416,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000011,1,920625000,0,-48,1.60147594255261,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000001,1,920625000,0,-44,4.75534044244549,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000004,1,920625000,0,-52.5,3.58337912050086,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000009,1,920625000,0,-51.5,2.56481587734479,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000019,1,920625000,0,-61.5,0.846757394912874,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000020,1,920625000,0,-65,4.52217536268687,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000017,1,920625000,0,-63,3.62019465941011,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000010,1,920625000,0,-49,4.14174812729123,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000019,1,920625000,0,-62,0.797670009700534,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000011,1,920625000,0,-48,1.60147594255261,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000018,1,920625000,0,-62,1.15355355249,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000004,1,920625000,0,-52.5,3.62019465941011,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000016,1,920625000,0,-50.5,1.71805848243192,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000007,1,920625000,0,-64.5,5.06827252317416,0,0,0.200052001953125,1.63,0,-0.0240000002086163
800000000000000000000020,1,920625000,0,-65,4.47922390062607,0,0,0.200052001953125,1.63,0,-0.0240000002086163
